id,api_url,repository_url,description
83d12431272d093f7c3d2233dcb5939e95d1d50f,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/83d12431272d093f7c3d2233dcb5939e95d1d50f,Fixes web console HTML view regression add more details to the ErrorDTO.  Bug introduced when the fix for APLO-122 was committed.  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1222971 13f79535-47bb-0310-9956-ffa450edef68
931629665b5fc297f3edbee47643f294ed26543a,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/931629665b5fc297f3edbee47643f294ed26543a,Fixes issue with CSS not being served up properly.  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1230596 13f79535-47bb-0310-9956-ffa450edef68
44fd8acc7246d907f38b9ee026a2da00c6c6f08a,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/44fd8acc7246d907f38b9ee026a2da00c6c6f08a,Fixes APLO-125: Improve client authentication error messages  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1231207 13f79535-47bb-0310-9956-ffa450edef68
f371de385492b88bfc2b767b5bef7da7e3e2fe05,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/f371de385492b88bfc2b767b5bef7da7e3e2fe05,Switch to the lastest leveldb snapshot as that helps resolve lots of issues on windows.  Also fallback to using JNA based hardlink system calls as the speeds up links on windows.
a9a8af587a93db1d6627766973732441875bc612,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/a9a8af587a93db1d6627766973732441875bc612,Switch to the lastest leveldb snapshot as that helps resolve lots of issues on windows.  Also fallback to using JNA based hardlink system calls as the speeds up links on windows.  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1232161 13f79535-47bb-0310-9956-ffa450edef68
732a29a70d2e6795689984e4e13f1a86ab2be5ba,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/732a29a70d2e6795689984e4e13f1a86ab2be5ba,Fix int rollover bug causing the benchmark to hang on warm ups >= 2GB  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1232173 13f79535-47bb-0310-9956-ffa450edef68
650a5a238540b08755efd97950d552300088053f,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/650a5a238540b08755efd97950d552300088053f,Fixing leveldb store bugs
24c145a104a31dea5358c1c94ce276abf95cfb56,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/24c145a104a31dea5358c1c94ce276abf95cfb56,Support using log files > 2GB also fixes Int rollover bug if a log file went longer than 2GB.  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1235623 13f79535-47bb-0310-9956-ffa450edef68
e40d5dd4700b9841463d7e9aea8477a84ccaea36,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/e40d5dd4700b9841463d7e9aea8477a84ccaea36,Fixes assertion error.  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1239162 13f79535-47bb-0310-9956-ffa450edef68
5f875ad54bdb683b5c1bb3bd1678bdfcfcdb8760,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/5f875ad54bdb683b5c1bb3bd1678bdfcfcdb8760,Fixes APLO-147: Error browsing destinations related pages via the web console  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1239193 13f79535-47bb-0310-9956-ffa450edef68
2a8971d47be0f8eea44c41599b1073aa5c97a3c5,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/2a8971d47be0f8eea44c41599b1073aa5c97a3c5,Fixes APLO-149 : java.lang.NoClassDefFoundError in latest 1.1 snapshot  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1241874 13f79535-47bb-0310-9956-ffa450edef68
